Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.128348,0.128906,0.128348,0.128348,0.100323,469033600
1980-12-15,0.12221,0.12221,0.121652,0.121652,0.095089,175884800
1980-12-16,0.113281,0.113281,0.112723,0.112723,0.08811,105728000
1980-12-17,0.115513,0.116071,0.115513,0.115513,0.090291,86441600
1980-12-18,0.118862,0.11942,0.118862,0.118862,0.092908,73449600
1980-12-19,0.126116,0.126674,0.126116,0.126116,0.098578,48630400
1980-12-22,0.132254,0.132813,0.132254,0.132254,0.103376,37363200
1980-12-23,0.137835,0.138393,0.137835,0.137835,0.107739,46950400
1980-12-24,0.145089,0.145647,0.145089,0.145089,0.113409,48003200
1980-12-26,0.158482,0.15904,0.158482,0.158482,0.123877,55574400
1980-12-29,0.160714,0.161272,0.160714,0.160714,0.125622,93161600
1980-12-30,0.157366,0.157366,0.156808,0.156808,0.122569,68880000
1980-12-31,0.152902,0.152902,0.152344,0.152344,0.11908,35750400
1981-01-02,0.154018,0.155134,0.154018,0.154018,0.120388,21660800
1981-01-05,0.151228,0.151228,0.15067,0.15067,0.117771,35728000
1981-01-06,0.144531,0.144531,0.143973,0.143973,0.112536,45158400
1981-01-07,0.138393,0.138393,0.137835,0.137835,0.107739,55686400
1981-01-08,0.135603,0.135603,0.135045,0.135045,0.105558,39827200
1981-01-09,0.142299,0.142857,0.142299,0.142299,0.111228,21504000
1981-01-12,0.142299,0.142299,0.141183,0.141183,0.110356,23699200
1981-01-13,0.136719,0.136719,0.136161,0.136161,0.10643,23049600
1981-01-14,0.136719,0.137277,0.136719,0.136719,0.106866,14291200
1981-01-15,0.139509,0.140625,0.139509,0.139509,0.109047,14067200
1981-01-16,0.138951,0.138951,0.138393,0.138393,0.108175,13395200
1981-01-19,0.146763,0.147321,0.146763,0.146763,0.114717,41574400
1981-01-20,0.142857,0.142857,0.142299,0.142299,0.111228,30083200
1981-01-21,0.145089,0.146205,0.145089,0.145089,0.113409,15904000
1981-01-22,0.146763,0.147879,0.146763,0.146763,0.114717,35548800
1981-01-23,0.146763,0.147321,0.146205,0.146205,0.114281,11222400
1981-01-26,0.144531,0.144531,0.143973,0.143973,0.112536,24640000
1981-01-27,0.143973,0.143973,0.142857,0.142857,0.111664,23699200
1981-01-28,0.138951,0.138951,0.138393,0.138393,0.108175,28156800
1981-01-29,0.133929,0.133929,0.133371,0.133371,0.104249,43904000
1981-01-30,0.127232,0.127232,0.126116,0.126116,0.098578,46188800
1981-02-02,0.11942,0.11942,0.118862,0.118862,0.092908,23766400
1981-02-03,0.123326,0.123884,0.123326,0.123326,0.096398,19152000
1981-02-04,0.12779,0.128348,0.12779,0.12779,0.099887,27865600
1981-02-05,0.12779,0.128906,0.12779,0.12779,0.099887,7929600
1981-02-06,0.128348,0.128906,0.128348,0.128348,0.100323,13865600
1981-02-09,0.122768,0.122768,0.121652,0.121652,0.095089,16755200
1981-02-10,0.121652,0.12221,0.121652,0.121652,0.095089,18345600
1981-02-11,0.118304,0.118304,0.117746,0.117746,0.092036,13843200
1981-02-12,0.117188,0.117188,0.116629,0.116629,0.091163,14560000
1981-02-13,0.114955,0.114955,0.113839,0.113839,0.088982,11155200
1981-02-17,0.116629,0.117188,0.116629,0.116629,0.091163,12275200
1981-02-18,0.121652,0.122768,0.121652,0.121652,0.095089,19241600
1981-02-19,0.114955,0.114955,0.114397,0.114397,0.089418,22310400
1981-02-20,0.108817,0.108817,0.108259,0.108259,0.084621,24371200
1981-02-23,0.109933,0.110491,0.109933,0.109933,0.085929,14112000
1981-02-24,0.107143,0.107143,0.106027,0.106027,0.082876,16979200
1981-02-25,0.112723,0.113281,0.112723,0.112723,0.08811,19488000
1981-02-26,0.114397,0.114955,0.114397,0.114397,0.089418,10841600
1981-02-27,0.118304,0.11942,0.118304,0.118304,0.092472,14761600
1981-03-02,0.118862,0.11942,0.118862,0.118862,0.092908,11760000
1981-03-03,0.117746,0.117746,0.117188,0.117188,0.0916,16172800
1981-03-04,0.116629,0.116629,0.116071,0.116071,0.090727,13708800
1981-03-05,0.116071,0.116071,0.115513,0.115513,0.090291,5376000
1981-03-06,0.115513,0.115513,0.114397,0.114397,0.089418,11603200
1981-03-09,0.106027,0.106027,0.105469,0.105469,0.08244,15321600
1981-03-10,0.101004,0.101004,0.100446,0.100446,0.078514,28380800
1981-03-11,0.097656,0.097656,0.09654,0.09654,0.07546,29859200
1981-03-12,0.100446,0.101004,0.100446,0.100446,0.078514,59248000
1981-03-13,0.099888,0.099888,0.09933,0.09933,0.077641,231302400
1981-03-16,0.103237,0.104353,0.103237,0.103237,0.080695,37228800
1981-03-17,0.108259,0.109375,0.108259,0.108259,0.084621,43747200
1981-03-18,0.114955,0.116071,0.114955,0.114955,0.089854,36937600
1981-03-19,0.114397,0.114397,0.113839,0.113839,0.088982,37811200
1981-03-20,0.114955,0.116071,0.114955,0.114955,0.089854,14604800
1981-03-23,0.11942,0.120536,0.11942,0.11942,0.093345,22019200
1981-03-24,0.11942,0.11942,0.118862,0.118862,0.092908,28156800
1981-03-25,0.117746,0.117746,0.116629,0.116629,0.091163,7056000
1981-03-26,0.114955,0.114955,0.114397,0.114397,0.089418,12275200
1981-03-27,0.111049,0.111049,0.110491,0.110491,0.086365,12252800
1981-03-30,0.110491,0.111607,0.110491,0.110491,0.086365,9900800
1981-03-31,0.110491,0.110491,0.109375,0.109375,0.085493,15993600
1981-04-01,0.108817,0.108817,0.108259,0.108259,0.084621,34070400
1981-04-02,0.117746,0.118304,0.117746,0.117746,0.092036,31404800
1981-04-03,0.118304,0.118862,0.118304,0.118304,0.092472,16486400
1981-04-06,0.116629,0.116629,0.116071,0.116071,0.090727,22803200
1981-04-07,0.115513,0.115513,0.114955,0.114955,0.089854,10684800
1981-04-08,0.120536,0.121652,0.120536,0.120536,0.094217,21952000
1981-04-09,0.122768,0.123326,0.122768,0.122768,0.095961,12499200
1981-04-10,0.124442,0.125,0.124442,0.124442,0.09727,33465600
1981-04-13,0.124442,0.125,0.124442,0.124442,0.09727,16060800
1981-04-14,0.124442,0.125,0.124442,0.124442,0.09727,6652800
1981-04-15,0.118862,0.118862,0.118304,0.118304,0.092472,34048000
1981-04-16,0.112165,0.112165,0.111607,0.111607,0.087238,23878400
1981-04-20,0.114955,0.115513,0.114955,0.114955,0.089854,35347200
1981-04-21,0.122768,0.123326,0.122768,0.122768,0.095961,28537600
1981-04-22,0.127232,0.12779,0.127232,0.127232,0.099451,18995200
1981-04-23,0.13058,0.131138,0.13058,0.13058,0.102068,58016000
1981-04-24,0.13058,0.13058,0.129464,0.129464,0.101195,35056000
1981-04-27,0.128906,0.128906,0.128348,0.128348,0.100323,38528000
1981-04-28,0.126674,0.126674,0.126116,0.126116,0.098578,32188800
1981-04-29,0.125,0.125,0.124442,0.124442,0.09727,13641600
1981-04-30,0.126674,0.12779,0.126674,0.126674,0.099015,12611200
1981-05-01,0.126674,0.12779,0.126674,0.126674,0.099015,16553600
1981-05-04,0.126674,0.126674,0.126116,0.126116,0.098578,14448000
1981-05-05,0.126116,0.126116,0.125558,0.125558,0.098142,17539200
1981-05-06,0.122768,0.122768,0.12221,0.12221,0.095525,18950400
1981-05-07,0.123884,0.124442,0.123884,0.123884,0.096834,9363200
1981-05-08,0.125,0.125558,0.125,0.125,0.097706,7907200
1981-05-11,0.122768,0.122768,0.12221,0.12221,0.095525,11939200
1981-05-12,0.12221,0.123884,0.12221,0.12221,0.095525,4256000
1981-05-13,0.12221,0.123326,0.121652,0.121652,0.095089,4905600
1981-05-14,0.121094,0.121094,0.119978,0.119978,0.093781,4928000
1981-05-15,0.122768,0.124442,0.122768,0.122768,0.095961,4905600
1981-05-18,0.125,0.126116,0.125,0.125,0.097706,4166400
1981-05-19,0.123326,0.123326,0.122768,0.122768,0.095961,25424000
1981-05-20,0.126674,0.12779,0.126674,0.126674,0.099015,13283200
1981-05-21,0.133929,0.134487,0.133929,0.133929,0.104685,32211200
